  ,image,sigma              ,sigma_denoised    ,ssim                ,msssim              ,psnr              ,mse               ,best_denoise
0 ,0    ,10.102880232333682 ,1.6513749096877561,-0.07829281018634246,-0.07829281018634246,4.846571783858643 ,21302.137444140448,median_denoiser
1 ,1    ,8.418320541190647  ,1.6402867794716005,-0.10216983315775428,-0.10216983315775428,5.314381072413436 ,19126.797223189657,median_denoiser
2 ,2    ,7.964551672381145  ,1.5508709706866701,-0.10391380031168694,-0.10391380031168694,5.10522558178912  ,20070.482015468384,median_denoiser
3 ,3.0  ,0.32321042227648883,0.0               ,                    ,                    ,                  ,                  ,
4 ,4.0  ,1.5823527280129268 ,0.0               ,                    ,                    ,                  ,                  ,
5 ,5.0  ,0.6480442594888016 ,0.0               ,                    ,                    ,                  ,                  ,
6 ,6    ,8.646512811599967  ,1.698815042037668 ,-0.09222030793874784,-0.09222030793874784,5.1966308807980335,19652.475918964075,median_denoiser
7 ,7.0  ,0.22670674264081112,0.0               ,                    ,                    ,                  ,                  ,
8 ,8    ,9.509247420097205  ,2.21887386456454  ,-0.1591103704632983 ,-0.1591103704632983 ,4.43184801855442  ,23436.65132966767 ,average_denoiser
9 ,9.0  ,0.35409796849535197,0.0               ,                    ,                    ,                  ,                  ,
10,10.0 ,0.37286818066962796,0.0               ,                    ,                    ,                  ,                  ,
11,11   ,7.21121283827694   ,1.3419052363916917,-0.10432318176736889,-0.10432318176736889,5.781180348584117 ,17177.593692449354,median_denoiser
12,12.0 ,0.25315903677322504,0.0               ,                    ,                    ,                  ,                  ,
13,13   ,7.465661237677164  ,1.5514651817940612,-0.11020472925853915,-0.11020472925853915,5.154050439951784 ,19846.106467832575,median_denoiser
14,14.0 ,0.39932047480203275,0.0               ,                    ,                    ,                  ,                  ,
15,15   ,3.7390165074187127 ,1.7492631766797053,-0.14866936906528785,-0.14866936906528785,5.501533190905986 ,18320.066331152128,median_denoiser
16,16   ,7.463698054749595  ,1.724238132341638 ,-0.1313435908115623 ,-0.1313435908115623 ,5.46615998398937  ,18469.892276220766,median_denoiser
17,17   ,7.581783783710165  ,1.7141792059539058,-0.10978091531868027,-0.10978091531868027,5.280078278516673 ,19278.468626453294,median_denoiser
18,18.0 ,0.7021372699684129 ,0.0               ,                    ,                    ,                  ,                  ,
19,19.0 ,0.7374600682737364 ,0.0               ,                    ,                    ,                  ,                  ,
20,20   ,7.349532975961268  ,1.5328541880061468,-0.121163766185942  ,-0.121163766185942  ,5.152253755485018 ,19854.318538085256,median_denoiser
21,21.0 ,0.18532527731319984,0.0               ,                    ,                    ,                  ,                  ,
22,22.0 ,0.08438634559107379,0.0               ,                    ,                    ,                  ,                  ,
23,23   ,7.978488586503061  ,1.6800448298633857,-0.12970656252210414,-0.12970656252210414,4.909486569015648 ,20995.765037969242,median_denoiser
24,24   ,11.472940786986804 ,2.7738204926757013,-0.17648588565665266,-0.17648588565665266,5.121949470883323 ,19993.342866346753,median_denoiser
25,25.0 ,0.7366483608058162 ,0.0               ,                    ,                    ,                  ,                  ,
26,26   ,14.089649598584879 ,3.273920680813512 ,-0.20512800033536235,-0.20512800033536235,5.382147552313743 ,18830.662760637064,median_denoiser
27,27.0 ,0.4754305273275863 ,0.0               ,                    ,                    ,                  ,                  ,
28,28.0 ,0.607257005268587  ,0.0               ,                    ,                    ,                  ,                  ,
29,29   ,9.673860633527571  ,1.8448968708732967,-0.09268176920879168,-0.09268176920879168,5.1146658402145295,20026.902193959257,median_denoiser
