,image,sigma,sigma_denoised,ssim,msssim,psnr,mse,best_denoise
0,0,7.766870233443812,1.3501815294572115,-0.11886210720627383,-0.11886210720627383,5.0527028542112635,20314.68420073117,average_denoiser
1,1.0,0.7247485231217583,0.0,,,,,
2,2.0,0.5063180735464748,0.0,,,,,
3,3,6.957576146344631,1.415797662874004,-0.1153807386636435,-0.1153807386636435,5.284500700911359,19258.84734624327,average_denoiser
4,4.0,0.6817436428583038,0.0,,,,,
5,5.0,0.7059783109474768,0.0,,,,,
6,6,7.40263372936757,1.4075213698084845,-0.10461318078556481,-0.10461318078556481,5.347384369308075,18981.998027743746,median_denoiser
7,7.0,0.16655506513891516,0.0,,,,,
8,8.0,0.18532527731320422,0.0,,,,,
9,9.0,0.5989807122030542,0.0,,,,,
10,10.0,1.0444039224297917e-14,0.0,,,,,
11,11.0,0.42414935399860715,0.0,,,,,
12,12.0,0.5311469527430267,0.0,,,,,
13,13.0,0.33976300840753243,0.0,,,,,
14,14.0,0.3232104222764871,0.0,,,,,
15,15,6.971555722904594,1.2740714769316581,-0.1046805440808493,-0.1046805440808493,5.219925506429823,19547.346446266816,bilateral_denoiser
16,16,8.810197761614088,1.4682672584177794,-0.09573526883044559,-0.09573526883044559,5.207553469188653,19603.11167222058,median_denoiser
17,17.0,0.8097290798202229,0.0,,,,,
18,18.0,0.676714179664439,0.0,,,,,
19,19.0,0.18532527731319984,0.0,,,,,
20,20.0,0.7451421502318611,0.0,,,,,
21,21.0,0.31493412921095726,0.0,,,,,
22,22.0,0.7925822825817862,0.0,,,,,
23,23.0,0.06783375946002664,0.0,,,,,
24,24.0,0.3232104222764878,0.0,,,,,
25,25,8.381931592301758,1.592846647121685,-0.10436848239874037,-0.10436848239874037,5.119662859324229,20003.872368376542,median_denoiser
26,26,7.264632028455973,1.361269659673362,-0.10551252311123142,-0.10551252311123142,5.361090599512607,18922.18572771424,median_denoiser
27,27.0,0.19744261135779087,0.0,,,,,
28,28,10.095256428349716,1.6204873634688883,-0.07373081520871586,-0.07373081520871586,4.508149159308093,23028.48910608598,median_denoiser
29,29,8.03266120617586,1.4791961702475707,-0.10001475607118325,-0.10001475607118325,5.022681040963378,20455.601606244203,median_denoiser
30,30,6.894235916945228,1.271853850888432,-0.11063365762917453,-0.11063365762917453,5.467925934628866,18462.383480022705,median_denoiser
31,31.0,0.051281173328972605,0.0,,,,,
32,32.0,0.6022275420747226,0.0,,,,,
33,33.0,1.283971184933015,0.0,,,,,
34,34.0,0.7330248161872758,0.0,,,,,
35,35.0,4.572480034907526e-15,0.0,,,,,
36,36.0,0.7992351607114792,0.0,,,,,
37,37.0,0.46553081932623996,0.0,,,,,
38,38.0,0.7037606849042377,0.0,,,,,
39,39.0,0.06783375946002675,0.0,,,,,
40,40.0,0.38498551471421844,0.0,,,,,
41,41.0,0.3314867153420094,0.0,,,,,
42,42.0,0.6894257248164227,0.0,,,,,
43,43.0,0.7225308970785219,0.0,,,,,
44,44,7.9209525810102965,1.4555557132657961,-0.11967390955493899,-0.11967390955493899,5.302620077252616,19178.66411176904,median_denoiser
45,45.0,0.44454298110871976,0.0,,,,,
46,46.0,0.3888265556932728,0.0,,,,,
47,47.0,0.3458216754298429,0.0,,,,,
48,48.0,0.6607558046407838,0.0,,,,,
49,49.0,0.5989807122030536,0.0,,,,,
