Color space,Frame size,Precision,Recall,F1-measure
RGB,2,0.7682400507883212,0.5660717291541882,0.6052866509922378
RGB,4,0.7603025136085791,0.548394373411123,0.587635771040048
RGB,10,0.7548694932381177,0.5335157322871394,0.578484602376673
CieLab,2,0.9153314030792765,0.9000963882034225,0.8858147061958517
CieLab,4,0.9135900338448653,0.9003187479536616,0.8851364679371794
CieLab,10,0.9123920161289835,0.899344858400385,0.8839099848830162
YCbCr,2,0.7648151002691633,0.5076812681150594,0.5627121148149727
YCbCr,4,0.7643904796774398,0.49730698063085615,0.5578906139205447
YCbCr,10,0.7643572732586957,0.5263450092697846,0.5821639133223846
HSV,2,0.8885659857117607,0.8895387357195855,0.8628675312879948
HSV,4,0.8759736310289038,0.8987536395550685,0.8614927752882215
HSV,10,0.8741059313807933,0.900604332773084,0.8612756251022865
